"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"247","0:02","0.0","CARL GRUNDSTROM - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"248","0:02","0.0","TYLER TOFFOLI - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"249","0:02","0.0","CARL GRUNDSTROM - TY DELLANDREA - NOAH GREGOR - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"250","0:02","0.0","BARCLAY GOODROW - TY DELLANDREA - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"251","0:02","0.0","ADAM GAUDETTE - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"252","0:02","0.0","WILLIAM EKLUND - ZACK OSTAPCHUK - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"253","0:02","0.0","TYLER TOFFOLI - NOAH GREGOR - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"254","0:02","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"255","0:02","0.0","TYLER TOFFOLI - NIKOLAI KOVALENKO - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"256","0:02","0.0","BARCLAY GOODROW - ADAM GAUDETTE - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"257","0:02","0.0","CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"258","0:02","0.0","TYLER TOFFOLI - NIKOLAI KOVALENKO","0","0","0","0","0","0.0","0","0","0.0"
"259","0:02","0.0","ALEXANDER WENNBERG - TY DELLANDREA - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"260","0:02","0.0","TY DELLANDREA - NOAH GREGOR - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"261","0:02","0.0","TY DELLANDREA - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"262","0:02","0.0","ALEXANDER WENNBERG - WILLIAM EKLUND - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"263","0:02","0.0","TY DELLANDREA - NIKOLAI KOVALENKO - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"264","0:02","0.0","TYLER TOFFOLI - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"265","0:02","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"266","0:02","0.0","ALEXANDER WENNBERG - WILLIAM EKLUND - WILL SMITH - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"267","0:02","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - NIKOLAI KOVALENKO - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
